Polda,kriminal_2017,kriminal_2018,kriminal_2019,kriminal_2020,kriminal_2021,fixed_2017,fixed_2018,fixed_2019,fixed_2020,fixed_2021
Aceh,8885,8758,7483,7745,6651,2416,3352,2648,2936,3790
Sumatera Utara,39867,32922,30831,32990,36534,26829,22443,23094,22665,24978
Sumatera Barat,13205,12953,11064,7992,5666,5662,5864,5996,6708,8139
Riau,6869,7246,6570,8194,7512,3732,3743,2938,3122,5810
Jambi,9531,6313,6848,4709,3701,6214,4347,4711,4028,2931
Sumatera Selatan,15728,13558,12861,12189,13037,10514,10144,8902,9356,9647
Bengkulu,4867,3389,3453,3333,3493,2420,2833,2332,2278,1635
Lampung,11089,8963,8534,7594,9764,7638,6439,6438,4873,6280
Kep. Bangka Belitung,1931,2048,1953,1931,1566,1252,1137,1066,1303,1084
Kepulauan Riau,3673,3409,3159,2843,2481,2068,2037,2000,1900,1630
Metro Jaya,34767,34655,31934,26585,29103,28075,30577,31836,31225,28518
Jawa Barat,25183,16209,13145,11256,7502,14375,12150,10995,9931,5481
Jawa Tengah,12033,9127,10317,10712,8909,11291,6980,6668,3894,6306
DI Yogyakarta,7251,6731,6650,7721,4774,2873,2486,4506,7383,6605
Jawa Timur,34598,26295,26985,17642,19257,18915,15446,12057,9305,10659
Banten,3692,3623,3287,4250,3434,2264,2223,2071,3106,2613
Bali,3589,3212,3047,2597,2404,2850,2407,2537,2344,2036
Nusa Tenggara Barat,8132,6451,8185,8591,6296,4257,3811,4011,4233,3756
Nusa Tenggara Timur,6729,6257,5865,4790,4909,4776,4400,3209,2360,1623
Kalimantan Barat,6020,5814,4721,3858,4048,4345,4478,4216,3933,3702
Kalimantan Tengah,2699,5699,2444,2629,2399,2306,4114,2131,2074,1967
Kalimantan Selatan,6578,2667,5375,5206,4973,5005,2025,4371,4284,3907
Kalimantan Timur,9149,6287,4417,3609,4564,6387,4763,3724,3224,2893
Sulawesi Utara,7981,10247,7425,6274,6215,5621,5507,4717,4860,3607
Sulawesi Tengah,10240,9379,6265,5454,5139,4787,5289,4095,3740,2744
Sulawesi Selatan,21616,21498,16008,12815,14636,13416,11521,11451,10632,9405
Sulawesi Tenggara,2866,1263,1213,2148,2431,1993,879,418,567,1493
Gorontalo,3099,2836,2367,2518,2445,2830,1829,1718,1781,1335
Sulawesi Barat,1841,1817,1863,1704,1500,1029,1021,1137,1082,1127
Maluku,3086,2751,3495,5350,3139,686,667,1538,1421,1372
Maluku Utara,789,722,718,850,1008,352,405,437,470,589
Papua Barat,2284,3475,2972,3162,2784,231,955,1314,1005,914
Papua,6785,7311,6994,6962,6236,4649,4563,3584,3876,2647
